Top queries,Clicks,Impressions,CTR,Position
kwara politics news,0,99,0%,7.64
kwara state political news,0,39,0%,10
kwara politics,0,19,0%,9
kwara politics today,0,5,0%,8.8
kwara state politics,0,1,0%,12
