Country,Clicks,Impressions,CTR,Position
Nigeria,5,273,1.83%,7.64
Switzerland,3,3,100%,1.33
United States,0,5,0%,18.8
Netherlands,0,3,0%,6.67
Brazil,0,1,0%,5
Italy,0,1,0%,6
Malta,0,1,0%,10
